name|location
Aegle Therapeutics| Miami, FL 33136
AHEPA University Hospital| Thessaloniki 541 24, Greece
Aidan Foundation| Jerusalem, 9410125, Israel
Ain Shams Maternity Hospital| Cairo, Egypt
American CryoStem Corporation| Eatontown, NJ
Andalusian Network for Design and Translation of Advanced Therapies| Sevilla, Spain
Anterogen Co., Ltd.| Seoul, South Korea
Apceth GmbH & Co. KG| Bayern, Germany
Armed Forces Institute of Regenerative Medicine| 503 Robert Grant Ave Silver Spring MD 20910
Asia Stem Cell Regenerative Pharmaceutical Co., Ltd.| Haikou, China
AVEM HealthCare| Chicago, Illinois
Azidus Brasil| Valinhos, Brazil
Azienda Ospedaliera Ospedale Infantile Regina Margherita Sant'Anna| Torino, Italy
Bangladesh Laser & Cell Surgery Institute & Hospital| Bangladesh
Baylx Inc.| Irvine, CA 92618
Beijing Baylx Biotech Co., Ltd.| Beijing, China
Belarusian Medical Academy of Post-Graduate Education| Minsk, Belarus
BioRestorative Therapies| Melville, NY 11747
Brainstorm-Cell Therapeutics| Paramus, NJ 07652
Bukwang Pharmaceutical| Seoul, South Korea
Cartesian Therapeutics| Gaithersburg, MD 20878
Celltex Therapeutics Corporation| Houston, TX 77057
Center for Outcomes Research and Clinical Epidemiology, Italy| Pescara, Abruzzo, 65122, Italy
Centre of Excellence in Molecular Biology (CEMB), University of the Punjab, Lahore.| University of the Punjab, Lahore
CHABiotech CO., Ltd| South Korea, Bundang-gu
Children's Hospital of Chongqing Medical University| Chongqing China 400015
Chinese PLA General Hospital| Beijing, China
Clinica Universidad de Navarra, Universidad de Navarra| Navarra, Spain
Corestem, Inc.| Gyeonggi-do, Korea
Cynata Therapeutics Limited| Cremorne Victoria, Australia
CytoMed Therapeutics Pte Ltd| Singapore 149544
D.O. Ott Research Institute of Obstetrics, Gynecology, and Reproductology| St Petersburg, Russia, 199034
Dermama Bioteknologi Laboratorium| Jawa Tengah, Indonesia
Direct Biologics, LLC| 1529 Barton Springs Rd, Austin, TX 78704
Dr. Hasan Sadikin General Hospital, Bandung, Indonesia| Bandung, Indonesia
Dr. Soetomo General Hospital| Indonesia
Dt&Sanomedics| Seoul, South Korea
EHL Bio Co., Ltd.| Seocho-gu, Seoul, South Korea
Emdadi Kamyab Hospital| Abhar, Iran
Epibone, Inc.| Brooklyn, NY 11226
Ever Supreme Bio Technology Co., Ltd.| Taichung City 403, Taiwan
Federal Research Clinical Center of Federal Medical & Biological Agency, Russia| Moscow, Russia
Fuzhou General Hospital| Fuzhou, China
General Hospital of Chinese Armed Police Forces| South Korea, Seoul
General Hospital of Shenyang Military Region| Shenyang, Liaoning, China, 110017
Grupo Espanol de trasplantes hematopoyeticos y terapia celular|  Madrid Spain
Guangdong Provincial Hospital of Traditional Chinese Medicine| China, Guangzhou
Gwo Xi Stem Cell Applied Technology Co., Ltd.| Hualien City, Taiwan
Hadassah Medical Organization| Jerusalem, Israel
Haematology Service,University Hospital of Salamanca, MªConsuelo del Cañizo Fernández-Roldán| Salamanca, Spain
Hebei Newtherapy BIo-Pharma technology Co., Ltd.| China, Hubei, Huanggang
Histocell, S.L.| Biscay, Spain
HomeoTherapy Co., Ltd| Seoul, Korea
Hope Biosciences Stem Cell Research Foundation| Sugar Land, TX 77478
Hope Biosciences| Sugar Land, TX 77478
Hospital e Maternidade Dr. Christóvão da Gama| Santo André, Brazil
Hospital Reg. Lic. Adolfo Lopez Mateos| Ciudad de México, CDMX, Mexico
Hunter Holmes Mcguire Veteran Affairs Medical Center| Richmond, VA 23249
IMAC Holdings, Inc.| New York City
